name,description,logoid,update_mode,type,typespecs,dps_common_stock_prim_issue_fy,fundamental_currency_code,dps_common_stock_prim_issue_fq,dividends_yield_current,dividends_yield,dividend_payout_ratio_ttm,dps_common_stock_prim_issue_yoy_growth_fy,continuous_dividend_payout,continuous_dividend_growth
CWAN,"Clearwater Analytics Holdings, Inc.",clearwater-analytics,streaming,stock,common,0,USD,0,0,,0,,0,0
CWBC,Community West Bancshares,community-west-bancshares,streaming,stock,common,0.48,USD,0.12,2.48834,2.4883358,93.04128707,0,13,0
CWCO,Consolidated Water Co. Ltd.,consolidated-water-co-ltd,streaming,stock,common,0.36,USD,0.11,1.51459,1.6254157,17.17988866,5.88235294,20,1
CWD,CaliberCos Inc.,calibercos,streaming,stock,common,0,USD,0,0,,0,,0,0
CWEN,"Clearway Energy, Inc.",clearway-energy,streaming,stock,common,1.6546,USD,0.424,5.90507,6.006424,220.78996531,7.31612401,10,5
CWH,"Camping World Holdings, Inc.",camping-world,streaming,stock,common,0.5,USD,0.125,2.56542,2.5654182,-65.34239415,-66.66666667,9,0
CWK,Cushman & Wakefield plc,cushman-and-wakefield,streaming,stock,common,0,USD,0,0,,0,,0,0
CWST,"Casella Waste Systems, Inc.",casella-waste-systems,streaming,stock,common,0,USD,0,0,,0,,0,0
CWT,California Water Service Group,california-water-service-group,streaming,stock,common,1.12,USD,0.28,2.50825,2.640264,34.30952089,7.69230769,20,19
CXAI,CXApp Inc.,cxapp-inc,streaming,stock,common,0,USD,0,0,,0,,0,0
CXDO,"Crexendo, Inc.",crexendo,streaming,stock,common,0.005,USD,0,0,,0,-75,2,0
CXM,"Sprinklr, Inc.",sprinklr,streaming,stock,common,0,USD,0,0,,0,,0,0
CXT,"Crane NXT, Co.",crane,streaming,stock,common,0.64,USD,0.16,1.16446,1.2182014,20.09734652,-28.08988764,20,0
CYBR,CyberArk Software Ltd.,cyber-ark-software,streaming,stock,common,0,USD,0,0,,0,,0,0
CYCC,"Cyclacel Pharmaceuticals, Inc.",cyclacel-pharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
CYCN,"Cyclerion Therapeutics, Inc.",cyclerion-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
CYCU,"Cycurion, Inc.",western-acquisition-ventures,streaming,stock,common,0,USD,0,0,,0,,0,0
CYD,China Yuchai International Limited,china-yuchai-international-limited,streaming,stock,common,,USD,,1.98745,1.9874476,0,,19,1
CYH,"Community Health Systems, Inc.",community-health-systems,streaming,stock,common,0,USD,0,0,,0,,0,0
CYN,Cyngn Inc.,,streaming,stock,common,0,USD,0,0,,0,,0,0
CYRX,"CryoPort, Inc.",cryoport,streaming,stock,common,0,USD,0,0,,0,,0,0
CYTH,"Cyclo Therapeutics, Inc.",cyclo-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
CYTK,"Cytokinetics, Incorporated",cytokinetics,streaming,stock,common,0,USD,0,0,,0,,0,0
CZFS,"Citizens Financial Services, Inc.",citizens-financial-services,streaming,stock,common,1.9502975,USD,0.49,3.22523,3.2412767,33.31225037,1.51539363,20,3
CZNC,Citizens & Northern Corp,citizens-and-northern,streaming,stock,common,1.12,USD,0.28,5.2459,5.2459016,66.40578679,0,20,0
CZR,"Caesars Entertainment, Inc.",caesars,streaming,stock,common,0,USD,0,0,,0,,0,0
CZWI,"Citizens Community Bancorp, Inc.",citizens-community,streaming,stock,common,0.32,USD,0.32,2.34681,2.3468058,23.91808057,10.34482759,12,5
D,"Dominion Energy, Inc.",dominion-energy,streaming,stock,common,2.67,USD,0.6675,4.71565,4.715648,98.84861723,0,20,0
DAC,Danaos Corporation,danaos,streaming,stock,common,3.25,USD,0.85,4.19741,4.3245993,12.53959619,6.55737705,4,3
DAIO,Data I/O Corporation,data-i-o,streaming,stock,common,0,USD,0,0,,0,,0,0
DAKT,"Daktronics, Inc.",daktronics,streaming,stock,common,0,USD,0,0,,0,,0,0
DAL,"Delta Air Lines, Inc.",delta-air-lines,streaming,stock,common,0.5,USD,0.15,0.914837,0.9980041,9.38051105,150,2,1
DALN,DallasNews Corporation - Series A,dallasnews,streaming,stock,common,0.64,USD,0,4.82655,0,-28.3235971,0,13,0
DAN,Dana Incorporated,dana-incorporated,streaming,stock,common,0.4,USD,0.1,2.68998,2.68998,-102.04081633,0,13,0
DAR,Darling Ingredients Inc.,darling-ingredients,streaming,stock,common,0,USD,0,0,,0,,0,0
DARE,"Dare Bioscience, Inc.",dare-bioscience,streaming,stock,common,0,USD,0,0,,0,,0,0
DASH,"DoorDash, Inc.",doordash,streaming,stock,common,0,USD,0,0,,0,,0,0
DATS,"DatChat, Inc.",datchat,streaming,stock,common,0,USD,0,0,,0,,0,0
DAVE,Dave Inc.,dave,streaming,stock,common,0,USD,0,0,,0,,0,0
DAWN,"Day One Biopharmaceuticals, Inc.",day-one-biopharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
DAY,"Dayforce, Inc.",ceridian-hcm,streaming,stock,common,0,USD,0,0,,0,,0,0
DBD,Diebold Nixdorf Incorporated,diebold-nixdorf-incorporated,streaming,stock,common,0,USD,0,0,,0,,0,0
DBI,Designer Brands Inc.,designer-brands,streaming,stock,common,0.2,USD,0.05,4.97512,4.9751244,-687.28522337,0,2,0
DBX,"Dropbox, Inc.",dropbox,streaming,stock,common,0,USD,0,0,,0,,0,0
DC,Dakota Gold Corp.,dakota-gold,streaming,stock,common,0,USD,0,0,,0,,0,0
DCGO,DocGo Inc.,docgo,streaming,stock,common,0,USD,0,0,,0,,0,0
DCI,"Donaldson Company, Inc.",donaldson,streaming,stock,common,1.04,USD,0.27,1.56318,1.5631785,31.56787092,8.33333333,20,19
DCO,Ducommun Incorporated,ducommun-incorporated,streaming,stock,common,0,USD,0,0,,0,,0,0
DCOM,"Dime Community Bancshares, Inc.",dime-community-bancshares,streaming,stock,common,1,USD,0.25,3.22581,3.2258062,168.52039097,1.01010101,20,2
DCTH,"Delcath Systems, Inc.",delcath-systems,streaming,stock,common,0,USD,0,0,,0,,0,0
DD,"DuPont de Nemours, Inc.",dupont-de-nemours,streaming,stock,common,1.52,USD,0.38,1.85887,2.0056255,91.01251422,5.55555556,20,3
DDC,DDC Enterprise Limited,ddc-enterprise-limited,streaming,stock,common,0,USD,,0,,,,0,0
DDD,3D Systems Corporation,3-d-systems,streaming,stock,common,0,USD,0,0,,0,,0,0
DDOG,"Datadog, Inc.",datadog,streaming,stock,common,0,USD,0,0,,0,,0,0
DDS,"Dillard's, Inc.",dillards,streaming,stock,common,1,USD,0.25,0.25701,0.25700995,2.71040171,11.11111111,20,11
DE,Deere & Company,deere,streaming,stock,common,5.88,USD,1.62,1.25419,1.3477817,26.72659096,16.43564356,20,4
DECA,Denali Capital Acquisition Corp.,denali-capital-acquisition,streaming,stock,common,0,USD,0,0,,0,,0,0
DECK,Deckers Outdoor Corporation,deckers-outdoor,streaming,stock,common,0,USD,0,0,,0,,0,0
DELL,Dell Technologies Inc.,dell,streaming,stock,common,1.78,USD,0.445,1.73219,2.0435967,28.62748882,20.27027027,3,2
DENN,Denny's Corporation,denny-s,streaming,stock,common,0,USD,0,0,,0,,0,0
DERM,Journey Medical Corporation,journey-medical,streaming,stock,common,0,USD,0,0,,0,,0,0
DESP,"Despegar.com, Corp.",despegar-com,streaming,stock,common,0,USD,0,0,,0,,0,0
DEVS,DevvStream Corp.,,streaming,stock,common,0,USD,0,0,,0,,0,0
DFH,"Dream Finders Homes, Inc.",dream-finders-homes,streaming,stock,common,0,USD,0,0,,0,,0,0
DFIN,"Donnelley Financial Solutions, Inc.",donnelley-financial-solutions,streaming,stock,common,0,USD,0,0,,0,,0,0
DFLI,Dragonfly Energy Holdings Corp,,streaming,stock,common,0,USD,0,0,,0,,0,0
DFS,Discover Financial Services,discover-financial-services,streaming,stock,common,2.8,USD,0.7,1.4345,1.4344996,17.99115863,3.7037037,18,14
DG,Dollar General Corporation,dollar-general,streaming,stock,common,2.36,USD,0.59,3.18145,3.1814504,38.86693017,7.27272727,9,8
DGICA,"Donegal Group, Inc.",donegal,streaming,stock,common,0.69,USD,0.1725,3.94511,3.9451115,45.54455446,1.47058824,20,19
DGII,Digi International Inc.,digi-international,streaming,stock,common,0,USD,0,0,,0,,0,0
DGLY,"Digital Ally, Inc.",digital-ally,streaming,stock,common,0,USD,0,0,,0,,0,0
DGNX,Diginex Limited,,streaming,stock,common,,USD,,0,,0,,0,0
DGX,Quest Diagnostics Incorporated,quest-diagnostics,streaming,stock,common,3,USD,0.75,1.73511,1.8507808,38.9762245,5.63380282,20,14
DH,Definitive Healthcare Corp.,definitive-healthcare,streaming,stock,common,0,USD,0,0,,0,,0,0
DHAI,"DIH Holding US, Inc.",dih-us,streaming,stock,common,0,USD,0,0,,0,,0,0
DHI,"D.R. Horton, Inc.",dr-horton,streaming,stock,common,1.2,USD,0.4,1.10401,1.2617302,9.1861106,20,20,11
DHIL,"Diamond Hill Investment Group, Inc.",diamond-hill,streaming,stock,common,6,USD,1.5,4.10565,4.1056523,38.30977282,0,4,0
DHR,Danaher Corporation,danaher,streaming,stock,common,1.08,USD,0.27,0.519831,0.6160955,20.42398684,2.85714286,20,7
DHT,"DHT Holdings, Inc.",dht,streaming,stock,common,1,USD,0.22,9.18762,9.187621,88.95214375,-13.04347826,19,0
DHX,"DHI Group, Inc.",dhi-group,streaming,stock,common,0,USD,0,0,,0,,0,0
DIBS,"1stdibs.com, Inc.",1stdibs,streaming,stock,common,0,USD,0,0,,0,,0,0
DIN,"Dine Brands Global, Inc. Common Stock",dineequity,streaming,stock,common,2.04,USD,0.51,8.13397,8.133971,33.91295674,2.51256281,11,2
DINO,HF Sinclair Corporation,hf-sinclair,streaming,stock,common,2,USD,0.5,5.67054,5.670542,242.7479063,11.11111111,20,3
DIOD,Diodes Incorporated,diodes-inc,streaming,stock,common,0,USD,0,0,,0,,0,0
DIS,Walt Disney Company (The),walt-disney,streaming,stock,common,0.75,USD,0.5,0.834798,0.8787346,30.84615884,,1,0
DIT,AMCON Distributing Company,amcon-distributing-company,streaming,stock,common,0.72,USD,0.18,0.545496,0.54549587,12.25803156,0,17,0
DJCO,Daily Journal Corp. (S.C.),daily-journal-corporation,streaming,stock,common,0,USD,0,0,,0,,0,0
DJT,Trump Media & Technology Group Corp.,digital-world-acquisition-corp,streaming,stock,common,0,USD,0,0,,0,,0,0
DK,"Delek US Holdings, Inc.",delek-us-holdings,streaming,stock,common,1.005,USD,0.255,6.16564,6.257669,-9.69403503,8.64864865,3,2
DKL,"Delek Logistics Partners, L.P.",delek-us-holdings,streaming,stock,common,4.315,USD,1.1,10.1464,10.274291,144.07826639,4.60606061,12,11
DKNG,DraftKings Inc.,draftkings,streaming,stock,common,0,USD,0,0,,0,,0,0
DKS,Dick's Sporting Goods Inc,dicks-sporting-goods,streaming,stock,common,4,USD,1.1,1.95469,1.9546869,30.72328325,105.12820513,13,9
DLB,Dolby Laboratories,dolby-laboratories,streaming,stock,common,1.2,USD,0.33,1.54393,1.6174489,45.3690384,11.11111111,10,3
DLHC,DLH Holdings Corp.,dlh,streaming,stock,common,0,USD,0,0,,0,,0,0
DLNG,Dynagas LNG Partners LP,dynagas,streaming,stock,common,0,USD,0,2.45,4.9,0,,0,0
DLO,DLocal Limited,dlocal,streaming,stock,common,0,USD,0,0,,0,,0,0
DLPN,"Dolphin Entertainment, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
DLTH,Duluth Holdings Inc.,duluth,streaming,stock,common,0,USD,0,0,,0,,0,0
DLTR,"Dollar Tree, Inc.",dollar-tree,streaming,stock,common,0,USD,0,0,,0,,0,0
DLX,Deluxe Corporation,deluxe-corp,streaming,stock,common,1.2,USD,0.3,7.2904,7.2904015,101.66906719,0,20,0
DM,"Desktop Metal, Inc.",desktop-metal,streaming,stock,common,0,USD,0,0,,0,,0,0
DMAA,Drugs Made In America Acquisition Corp.,,streaming,stock,common,,USD,,0,,,,,
DMAC,DiaMedica Therapeutics Inc.,diamedica-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
DMLP,"Dorchester Minerals, L.P.",dorchester-minerals-lp,streaming,stock,common,3.487554,USD,0.995785,10.5856,10.585334,160.24416468,2.69796253,20,1
DMN,Damon Inc.,,streaming,stock,common,0,USD,0,0,,,,0,0
DMRC,Digimarc Corporation,digimarc,streaming,stock,common,0,USD,0,0,,0,,0,0
DMYY,"dMY Squared Technology Group, Inc.",dmy-squared-technology,streaming,stock,common,0,USD,0,0,,0,,0,0
DNA,"Ginkgo Bioworks Holdings, Inc.",ginkgo-bioworks,streaming,stock,common,0,USD,0,0,,0,,0,0
DNB,"Dun & Bradstreet Holdings, Inc.",dun-and-bradstreet,streaming,stock,common,0.2,USD,0.05,2.20507,2.2050717,-301.65912519,0,3,0
DNLI,Denali Therapeutics Inc.,denali-therapeutics-inc,streaming,stock,common,0,USD,0,0,,0,,0,0
DNOW,DNOW Inc.,now,streaming,stock,common,0,USD,0,0,,0,,0,0
DNTH,"Dianthus Therapeutics, Inc.",magenta-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
DNUT,"Krispy Kreme, Inc.",krispy-kreme,streaming,stock,common,0.14,USD,0.035,2.25443,2.2544284,909.09090909,0,4,0
DOCN,"DigitalOcean Holdings, Inc.",digitalocean,streaming,stock,common,0,USD,0,0,,0,,0,0
DOCS,"Doximity, Inc.",doximity,streaming,stock,common,0,USD,0,0,,0,,0,0
DOCU,"DocuSign, Inc.",docusign,streaming,stock,common,0,USD,0,0,,0,,0,0
DOGZ,Dogness (International) Corporation,dogness-international,streaming,stock,common,0,USD,0,0,,0,,0,0
DOLE,Dole plc,dole,streaming,stock,common,0.32,USD,0.08,2.18729,2.1872864,24.32535158,0,4,0
DOMH,Dominari Holdings Inc.,dominari-holdings,streaming,stock,common,0,USD,0,0,0,0,,0,0
DOMO,"Domo, Inc.",domo,streaming,stock,common,0,USD,0,0,,0,,0,0
DORM,"Dorman Products, Inc.",dorman-products,streaming,stock,common,0,USD,0,0,,0,,0,0
DOUG,Douglas Elliman Inc.,douglas-elliman,streaming,stock,common,0.04761905,USD,0,0,,0,-75.00049832,2,0
DOV,Dover Corporation,dover,streaming,stock,common,2.05,USD,0.515,1.03386,1.0363736,10.53946645,0.98522167,20,19
DOW,Dow Inc.,dow,streaming,stock,common,2.8,USD,0.7,7.34715,7.347152,178.83374848,0,6,0
DOX,Amdocs Limited,amdocs,streaming,stock,common,1.872,USD,0.479,2.19599,2.416046,44.15967549,10.11764706,13,12
DPZ,Domino's Pizza Inc,dominos-pizza,streaming,stock,common,6.04,USD,1.51,1.23338,1.4212494,36.1841317,24.79338843,12,11
DRCT,"Direct Digital Holdings, Inc.",direct-digital,streaming,stock,common,0,USD,0,0,,0,,0,0
DRDB,Roman DBDR Acquisition Corp. II,,streaming,stock,common,,USD,,0,,,,,
DRI,"Darden Restaurants, Inc.",darden,streaming,stock,common,5.24,USD,1.4,2.74868,2.748678,62.15097412,8.26446281,20,3
DRIO,DarioHealth Corp.,dariohealth,streaming,stock,common,0,USD,0,0,,0,,0,0
DRMA,"Dermata Therapeutics, Inc.",dermata-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
DRRX,DURECT Corporation,durect,streaming,stock,common,0,USD,0,0,,0,,0,0
DRS,"Leonardo DRS, Inc.",leonardo,streaming,stock,common,0,USD,0,0,1.182266,0,,0,0
DRTS,Alpha Tau Medical Ltd.,alpha-tau-medical-ltd,streaming,stock,common,0,USD,0,0,,0,,0,0
DRVN,Driven Brands Holdings Inc.,driven-brands,streaming,stock,common,0,USD,0,0,,0,,0,0
DSGN,"Design Therapeutics, Inc.",design-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
DSGR,"Distribution Solutions Group, Inc.",distribution-solutions-group-inc,streaming,stock,common,0,USD,0,0,,0,,0,0
DSP,Viant Technology Inc.,viant-technology,streaming,stock,common,0,USD,0,0,,0,,0,0
DSS,"DSS, Inc.",dss,streaming,stock,common,0,USD,0,0,,0,,0,0
DSWL,"Deswell Industries, Inc.",deswell-industries,streaming,stock,common,0.2,USD,0.1,8.43811,8.438107,30.87372646,0,20,0
DSX,Diana Shipping inc.,diana-shipping,streaming,stock,common,0.235,USD,0.01,12.6344,9.139785,2175.92592593,-60.83333333,4,0
DSY,Big Tree Cloud Holdings Limited,big-tree-cloud-limited,streaming,stock,common,0,USD,,0,,,,0,0
DT,"Dynatrace, Inc.",dynatrace,streaming,stock,common,0,USD,0,0,,0,,0,0
DTC,"Solo Brands, Inc.",solo-brands,streaming,stock,common,0,USD,0,0,,0,,0,0
DTCK,Davis Commodities Limited,davis-commodities-limited,streaming,stock,common,0,USD,0,0,,0,,0,0
DTE,DTE Energy Company,dte-energy,streaming,stock,common,4.15,USD,1.09,3.10396,3.2610323,61.32702823,7.02772405,20,2
DTI,Drilling Tools International Corporation,drilling-tools-international,streaming,stock,common,0,USD,0,0,,0,,0,0
DTIL,"Precision BioSciences, Inc.",precision-biosciences,streaming,stock,common,0,USD,0,0,,0,,0,0
DTM,"DT Midstream, Inc.",dt-midstream,streaming,stock,common,2.94,USD,0.735,3.05963,3.1480904,81.76432962,6.52173913,4,3
DTSQ,DT Cloud Star Acquisition Corporation,,streaming,stock,common,,USD,0,0,,,,0,0
DTSS,Datasea Inc.,datasea,streaming,stock,common,0,USD,0,0,,0,,0,0
DTST,Data Storage Corporation,data-storage-corporation,streaming,stock,common,0,USD,0,0,,0,,0,0
DUK,Duke Energy Corporation (Holding Company),duke-energy,streaming,stock,common,4.14,USD,1.045,3.54073,3.5577495,72.99784886,1.97044335,20,17
DUO,Fangdd Network Group Ltd.,,streaming,stock,common,,USD,,0,,0,,0,0
DUOL,"Duolingo, Inc.",duolingo,streaming,stock,common,0,USD,0,0,,0,,0,0
DUOT,"Duos Technologies Group, Inc.",duos-technologies,streaming,stock,common,0,USD,0,0,,0,,0,0
DV,"DoubleVerify Holdings, Inc.",doubleverify,streaming,stock,common,0,USD,0,0,,0,,0,0
DVA,DaVita Inc.,davita,streaming,stock,common,0,USD,0,0,,0,,0,0
DVAX,Dynavax Technologies Corporation,dynavax,streaming,stock,common,0,USD,0,0,,0,,0,0
DVLT,Datavault AI Inc.,wisa-technologies,streaming,stock,common,0,USD,0,0,,0,,0,0
DVN,Devon Energy Corporation,devon-energy,streaming,stock,common,1.45,USD,0.22,4.00331,2.8437326,31.71547934,-49.47735192,20,0
DWSN,Dawson Geophysical Company,dawson-geophysical-company,streaming,stock,common,0,USD,0,0,0,0,,0,0
DWTX,"Dogwood Therapeutics, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
DXC,DXC Technology Company,dxc-technology-company,streaming,stock,common,0,USD,0,0,,0,,0,0
DXCM,"DexCom, Inc.",dexcom,streaming,stock,common,0,USD,0,0,,0,,0,0
DXLG,"Destination XL Group, Inc.",destination-xl-group,streaming,stock,common,0,USD,0,0,,0,,0,0
DXPE,"DXP Enterprises, Inc.",dxp-enterprises,streaming,stock,common,0,USD,0,0,,0,,0,0
DXST,Decent Holding Inc.,,streaming,stock,common,,USD,,0,,,,0,0
DY,"Dycom Industries, Inc.",dycom-industries,streaming,stock,common,0,USD,0,0,,0,,0,0
DYAI,"Dyadic International, Inc.",dyadic-international,streaming,stock,common,0,USD,0,0,,0,,0,0
DYCQ,DT Cloud Acquisition Corporation,dt-cloud-acquisition,streaming,stock,common,,USD,0,0,,,,0,0
DYN,"Dyne Therapeutics, Inc.",dyne-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
DYNX,Dynamix Corporation,,streaming,stock,common,,USD,,0,,,,0,0
EA,Electronic Arts Inc.,electronic-arts,streaming,stock,common,0.76,USD,0.19,0.5886,0.5885998,19.33940659,0,4,0
EAF,GrafTech International Ltd.,graftech-international,streaming,stock,common,0,USD,0,0,,0,-100,0,0
EAT,"Brinker International, Inc.",brinker-international,streaming,stock,common,0,USD,0,0,,0,,0,0
EB,"Eventbrite, Inc.",eventbrite,streaming,stock,common,0,USD,0,0,,0,,0,0
EBAY,eBay Inc.,ebay,streaming,stock,common,1.08,USD,0.27,1.66821,1.7917825,27.21019879,8,6,5
EBC,"Eastern Bankshares, Inc.",eastern-bankshares,streaming,stock,common,0.45,USD,0.12,2.51537,2.6830633,67.53714543,9.75609756,4,3
EBF,"Ennis, Inc.",ennis,streaming,stock,common,1,USD,0.25,4.71698,4.716981,63.13529895,0,20,0
EBMT,"Eagle Bancorp Montana, Inc.",eagle-montana,streaming,stock,common,0.565,USD,0.1425,3.17394,3.1879194,45.39246405,1.8018018,20,9
EBON,Ebang International Holdings Inc.,ebang,streaming,stock,common,0,USD,0,0,,0,,0,0
EBS,Emergent BioSolutions Inc.,emergent-biosolutions,streaming,stock,common,0,USD,0,0,,0,,0,0
EBTC,Enterprise Bancorp Inc,enterprise-bancorp,streaming,stock,common,0.96,USD,0.24,2.24797,2.317497,30.75148953,4.34782609,20,19
ECBK,"ECB Bancorp, Inc.",ecb-bancorp,streaming,stock,common,0,USD,0,0,,0,,0,0
ECDA,"ECD Automotive Design, Inc.",ecd-automotive-design,streaming,stock,common,0,USD,0,0,,0,,0,0
ECG,"Everus Construction Group, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
ECL,Ecolab Inc.,ecolab,streaming,stock,common,2.36,USD,0.65,0.877291,0.9665067,32.00998277,9.25925926,20,19
ECO,Okeanis Eco Tankers Corp.,sector/energy,streaming,stock,common,3.31,USD,0.45,15.7544,1.6658733,97.88555375,-33.13131313,5,0
ECOR,"electroCore, Inc.",electrocore,streaming,stock,common,0,USD,0,0,,0,,0,0
ECPG,Encore Capital Group Inc,encore-capital-group,streaming,stock,common,0,USD,0,0,,0,,0,0
ECVT,Ecovyst Inc.,ecovyst,streaming,stock,common,0,USD,0,0,,0,,0,0
ECX,ECARX Holdings Inc.,ecarx,streaming,stock,common,0,USD,0,0,,0,,0,0
ED,"Consolidated Edison, Inc.",consolidated-edison,streaming,stock,common,3.32,USD,0.83,3.28999,3.3490942,63.34064676,2.4691358,20,19
EDBL,Edible Garden AG Incorporated,edible-garden-ag-incorporated,streaming,stock,common,0,USD,0,0,,0,,0,0
EDIT,"Editas Medicine, Inc.",editas-medicine,streaming,stock,common,0,USD,0,0,,0,,0,0
EDR,"Endeavor Group Holdings, Inc.",endeavor,streaming,stock,common,0.24,USD,0.06,0.736422,0.7364222,-9.37060753,100,2,1
EDRY,EuroDry Ltd.,eurodry,streaming,stock,common,0,USD,0,0,,0,,0,0
EDSA,"Edesa Biotech, Inc.",edesa-biotech,streaming,stock,common,0,USD,0,0,,0,,0,0
EDTK,Skillful Craftsman Education Technology Limited,skillful-craftsman-education-technology-limited,streaming,stock,common,0,USD,0,0,,0,,0,0
EDUC,Educational Development Corporation,educational-development,streaming,stock,common,0,USD,0,0,,0,,0,0
EE,"Excelerate Energy, Inc.",excelerate-energy,streaming,stock,common,0.135,USD,0.06,0.440026,0.5541069,14.08303776,35,3,2
EEFT,"Euronet Worldwide, Inc.",euronet-worldwide,streaming,stock,common,0,USD,0,0,,0,,0,0
EEIQ,EpicQuest Education Group International Limited,epicquest-education-international-limited,streaming,stock,common,0,USD,0,0,,0,,0,0
EEX,"Emerald Holding, Inc.",emerald,streaming,stock,common,0,USD,0.015,0.729927,1.4598539,-2.77777778,,0,0
EFOI,"Energy Focus, Inc.",energy-focus,streaming,stock,common,0,USD,0,0,,0,,0,0
EFSC,Enterprise Financial Services Corporation,enterprise-financial-services-depositary-shares-each-representing-a-1-40th-interest-in-a-share-of-5-fixed-rate-non-cumulative-perpetual-preferred,streaming,stock,common,1.06,USD,0.28,1.79418,1.9634392,21.90173148,6,20,10
EFSH,1847 Holdings LLC,,streaming,stock,common,0,USD,0,0,,0,-100,0,0
EFSI,Eagle Financial Services Inc,eagle-financial-services,streaming,stock,common,1.21,USD,0.31,3.73089,0,28.03716662,0.83333333,20,19
EFX,"Equifax, Inc.",equifax,streaming,stock,common,1.56,USD,0.39,0.636215,0.6362153,32.27408143,0,20,0
EG,"Everest Group, Ltd.",everest-re,streaming,stock,common,7.75,USD,2,2.1941,2.2648773,24.36478644,13.97058824,20,3
EGAN,eGain Corporation,egain,streaming,stock,common,0,USD,0,0,,0,,0,0
EGBN,"Eagle Bancorp, Inc.",eagle-bancorp,streaming,stock,common,1.065,USD,0,3.3534,2.8374894,-68.19054937,-40.83333333,6,0
EGHT,8x8 Inc,8x8-new,streaming,stock,common,0,USD,0,0,,0,,0,0
EGY,"VAALCO Energy, Inc.",vaalco-energy,streaming,stock,common,0.25,USD,0.0625,6.25,6.25,29.04950035,92.30769231,2,1
EHAB,"Enhabit, Inc.",enhabit,streaming,stock,common,0,USD,0,0,,0,,0,0
EHC,Encompass Health Corporation,encompass-health,streaming,stock,common,0.64,USD,0.17,0.639105,0.6790494,14.3523502,6.66666667,12,1
EHGO,Eshallgo Inc.,eshallgo,streaming,stock,common,,USD,,0,,,,0,0
EHTH,"eHealth, Inc.",ehealth,streaming,stock,common,0,USD,0,0,,0,,0,0
EIG,Employers Holdings Inc,employers,streaming,stock,common,1.18,USD,0.3,2.27799,2.3166025,25.06744843,7.27272727,17,3
EIX,Edison International,edison-international,streaming,stock,common,3.1675,USD,0.8275,5.81833,6.0800886,95.92090122,5.84795322,20,19
EJH,E-Home Household Service Holdings Limited,,streaming,stock,common,0,USD,0,0,,0,,0,0
EKSO,"Ekso Bionics Holdings, Inc.",ekso-bionics,streaming,stock,common,0,USD,0,0,,0,,0,0
EL,"Estee Lauder Companies, Inc. (The)",estee-lauder,streaming,stock,common,2.64,USD,0.35,2.80907,1.9468778,-119.59143869,2.3255814,20,4
ELA,Envela Corporation,envela,streaming,stock,common,0,USD,0,0,,0,,0,0
ELAB,PMGC Holdings Inc.,,streaming,stock,common,0,USD,0,0,,0,,0,0
ELAN,Elanco Animal Health Incorporated,elanco-animal-health,streaming,stock,common,0,USD,0,0,,0,,0,0
ELDN,"Eledon Pharmaceuticals, Inc.",eledon-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ELEV,"Elevation Oncology, Inc.",elevation-oncology,streaming,stock,common,0,USD,0,0,,0,,0,0
ELF,"e.l.f. Beauty, Inc.",e-l-f-beauty,streaming,stock,common,0,USD,0,0,,0,,0,0
ELLO,Ellomay Capital Ltd,ellomay-capital-ltd,streaming,stock,common,0,USD,0,0,,0,,0,0
ELMD,"Electromed, Inc.",electromed,streaming,stock,common,0,USD,0,0,,0,,0,0
ELPW,Elong Power Holding Limited,,streaming,stock,common,0,USD,0,0,,0,,0,0
ELSE,"Electro-Sensors, Inc.",electro-sensors,streaming,stock,common,0,USD,0,0,,0,,0,0
ELTK,Eltek Ltd.,eltek-ltd,streaming,stock,common,0.22,USD,0,1.89983,,25.8246273,29.41176471,2,1
ELTX,"Elicio Therapeutics, Inc.",elicio-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ELUT,"Elutia, Inc.",aziyo-biologics,streaming,stock,common,0,USD,0,0,,0,,0,0
ELV,"Elevance Health, Inc.",anthem,streaming,stock,common,6.52,USD,1.63,1.64281,1.7234428,25.45701591,10.13513514,14,13
ELVN,"Enliven Therapeutics, Inc.",enliven-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
EMBC,Embecta Corp.,embecta,streaming,stock,common,0.6,USD,0.15,4.44444,4.4444447,59.68367651,0,3,0
EMCG,Embrace Change Acquisition Corp,embrace-change-acquisition,streaming,stock,common,0,USD,0,0,,0,,0,0
EME,"EMCOR Group, Inc.",emcor,streaming,stock,common,0.93,USD,0.25,0.244553,0.2445526,4.31726814,34.7826087,14,4
EMKR,EMCORE Corporation,emcore,streaming,stock,common,0,USD,0,0,,0,,0,0
