name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm
ADI,"Analog Devices, Inc.",analog-devices,streaming,stock,common,114104345695,USD,24.50053639,73.36564832,,11.95451819,3.25356724,29.87199085,36.03078227,42.15524498,118949705695,12.73875104,59.0345437,28.94445685
ADIL,"Adial Pharmaceuticals, Inc",adial-pharmaceuticals,streaming,stock,common,5082552,USD,100.47915533,,,,0.85466363,,,0.88022787,-121794,,,
ADM,Archer-Daniels-Midland Company,archer-daniels-midland,streaming,stock,common,22642173681,USD,-20.29352471,13.06465899,,0.26373754,1.0177553,8.18810036,18.61841891,5.4783693,30273173681,0.35407221,13.66734703,9.02061194
ADMA,ADMA Biologics Inc,adma-biologics,streaming,stock,common,3874435947,USD,203.80863667,59.31958017,,9.87379595,16.70727108,46.62693329,50.5423093,46.27467938,3899112947,10.18553962,33.93683516,31.67353297
ADN,"Advent Technologies Holdings, Inc.",advent-technologies,streaming,stock,common,13288000,USD,-4.72481072,,,2.17097857,,,,69.208335,13366000,2.26926995,,
ADNT,Adient plc,adient,streaming,stock,common,1328654530.9999998,USD,-54.18496884,1008.28025478,,0.09296413,0.70781693,2.2162,4.06303333,1.55907093,3447654531,0.23739272,7.99919845,4.53638754
ADP,"Automatic Data Processing, Inc.",automatic-data-processing,streaming,stock,common,128237570637.00002,USD,22.59854826,32.88159995,2.81080801,6.39698243,25.2548684,27.00561864,28.26385582,58.16126151,130398570637.00002,6.55157263,25.00883578,22.5443147
ADPT,Adaptive Biotechnologies Corporation,adaptive-biotechnologies,streaming,stock,common,1219006564.0000002,USD,104.89901105,,,6.73374,6.02814106,,,5.48740712,1085875564.0000002,6.06780156,,
ADSE,ADS-TEC ENERGY PLC,ads-tec-energy-plc,streaming,stock,common,772436314.0000001,USD,54.04760849,,-0.12407477,4.61002215,,,,29.88367936,767335855.7500001,4.78323191,,
ADSK,"Autodesk, Inc.",autodesk,streaming,stock,common,58955148163,USD,12.48521883,53.47204618,2.48902296,10.01470252,,37.02773491,37.97292278,31.55014316,59628148163,9.74634655,42.83631334,37.93139196
ADT,ADT Inc.,adt,streaming,stock,common,6730203638,USD,2.88168372,15.53784861,1.07439129,1.56861756,1.92065513,4.12780738,6.4948562,38.1275574,14329906638,2.9139413,12.27249627,5.23605964
ADTN,"ADTRAN Holdings, Inc.",adtran,streaming,stock,common,838263587,USD,80.91073035,,-0.0263907,0.90600818,,8.11091365,11.83856166,10.7776744,1399140587,1.51632195,,118.99477692
ADTX,"Aditxt, Inc.",,streaming,stock,common,4867681,USD,-6.73531633,,,0.03779257,0.00695811,,,0.02171957,14534612,68.52490488,,
ADUS,Addus HomeCare Corporation,addus-homecare,streaming,stock,common,1740415212.0000005,USD,16.65959327,22.61660172,2.20364636,1.5329517,1.7908791,15.04729186,15.87201388,17.71305901,1914630212.0000005,1.65826422,16.54336852,14.81178218
ADV,Advantage Solutions Inc.,advantage-solutions,streaming,stock,common,805091919,USD,-35.26521871,,,0.2128403,0.85613226,5.6464505,10.63798191,3.79306365,2287216919,0.606467,474.13286049,10.6910769
ADVM,"Adverum Biotechnologies, Inc.",adverum-biotechnologies,streaming,stock,common,97979604,USD,-78.69351645,,,91.8544,0.67981848,,,0.64164264,18001603.99999999,18.001604,,
AEE,Ameren Corporation,ameren,streaming,stock,common,27411678090.999996,USD,40.82996476,22.97217824,20.93883544,3.50878696,2.26275748,9.8839971,,1241.34018182,46240678091,6.06594229,30.50176655,14.53195415
AEHL,Antelope Enterprise Holdings Limited,antelope-enterprise-limited,streaming,stock,common,3815053,USD,-40.87031891,,,0.01197814,0.08136089,,,0.3414282,8971053,0.12586753,,
AEHR,Aehr Test Systems,aehr-test-systems,streaming,stock,common,286421814,USD,-35.1544961,12.91013794,2.48208885,5.66464393,2.32499246,,,8.6462066,259785814,5.12044573,,193.43694267
AEI,Alset Inc.,alset,streaming,stock,common,9822634,USD,12.92114345,,,0.69658127,0.10035624,,,0.18799966,-22583131,,,
AEIS,"Advanced Energy Industries, Inc.",advanced-energy-industries,streaming,stock,common,4344404902,USD,27.08865875,80.80404125,,2.98530001,3.60977451,33.47273742,59.17413702,6.0590865,4293806902,2.89722349,58.91854635,30.38099583
AEMD,"Aethlon Medical, Inc.",aethlon-medical,streaming,stock,common,7484439,USD,85.22267492,,,,1.6706467,,,1.49796589,3383900,,,
AENT,Alliance Entertainment Holding Corporation,alliance-entertainment,streaming,stock,common,211982654.99999997,USD,148.95347737,32.14837713,,0.18800396,2.21852468,4.89819649,4.90522257,85.14796594,314667655,0.29386084,16.57978055,12.93916917
AEO,"American Eagle Outfitters, Inc.",american-eagle-outfitters,streaming,stock,common,2514612278.9999995,USD,-44.45342521,11.20815138,2.05513703,0.47433279,1.43972248,6.58116951,13.33243011,15.99791741,3745620278.999999,0.69325736,8.66538256,5.69938737
AEON,"AEON Biopharma, Inc.",aeon-biopharma,streaming,stock,common,833028,USD,-99.64302821,,,,,,,0.76651326,16798028,,,
AEP,"American Electric Power Company, Inc.",american-electric-power,streaming,stock,common,56546982711.99999,USD,30.00152807,18.97918643,0.59645993,2.81377628,2.09750916,8.30575712,,122.4856159,102054282712,5.12410728,22.01011122,12.87491266
AER,AerCap Holdings N.V.,aercap,streaming,stock,common,20877046479,USD,29.22612991,8.1698958,0.48370348,2.64998543,1.13722588,3.57000214,,5.00276525,65344255479.01524,8.80061698,17.89580398,10.52970023
AERT,"Aeries Technology, Inc.",aeries-technology,streaming,stock,common,27336330.00000001,USD,-33.93501148,0.38310229,,0.36492464,39.50418545,,,11.44634128,43332330,0.611598,,
AES,The AES Corporation,aes,streaming,stock,common,8240803486.000001,USD,-27.41449914,4.88226126,,0.60248616,2.1300057,3.00278706,,4.05081863,40402803486,3.29066652,19.94215374,12.28048738
AESI,Atlas Energy Solutions Inc.,atlas-energy-solutions,streaming,stock,common,2359322831,USD,22.02426073,35.82255083,,2.05779862,2.06068056,8.40777338,,30.07164956,2817713831,2.66839827,24.83661376,12.41978477
AEVA,"Aeva Technologies, Inc.",aeva,streaming,stock,common,192900423.99999997,USD,-20.03472991,,,23.68899966,1.49093983,,,1.42608469,62774423.99999997,7.86646917,,
AEYE,"AudioEye, Inc.",audioeye,streaming,stock,common,158437476,USD,108.33930805,,,4.70538563,21.29505352,51.88382794,53.99014573,28.40445418,162566476,4.87484935,,580.59455714
AFBI,"Affinity Bancshares, Inc.",affinity-bancshares,streaming,stock,common,126581372,USD,12.70254146,23.96212673,,2.50313825,0.97994391,,,,178304372,3.56687215,,
AFG,"American Financial Group, Inc.",american-financial-group-ohio,streaming,stock,common,10605260630.999998,USD,-2.74063346,11.94487273,2.31765937,1.27219453,2.37455771,9.20791667,10.40973503,,12312260630.999998,1.48950649,,
AFJK,"Aimei Health Technology Co., Ltd",aimei-health-technology-co-ltd,streaming,stock,common,98834659.96343695,USD,,43.29774614,,,1.37530505,,,954.38059464,98731100.96343695,,,
AFL,AFLAC Incorporated,aflac,streaming,stock,common,59835023825,USD,26.80534392,11.39457907,0.46554097,3.15309831,2.30686462,22.4635109,22.4635109,,67333023825,3.55769966,,
AFMD,Affimed N.V.,affimed,streaming,stock,common,15684286,USD,-81.85359377,,-0.0008766,17.65447382,0.8798155,,,0.61654871,3172249.45,3.34470565,,
AFRI,Forafric Global PLC,forafric-global-plc,streaming,stock,common,243256782,USD,-9.35356702,,,0.72097227,25.9304891,6.76126461,8.10639756,14.86172887,411259782,1.26503326,,77.47923549
AFRM,"Affirm Holdings, Inc.",affirm,streaming,stock,common,20403327702,USD,78.26820219,,,7.60733697,7.2712723,28.18069231,36.12397814,10.29277019,25590653702,9.13885988,103.31976915,56.64167849
AFYA,Afya Limited,afya-limited,streaming,stock,common,1511632828.0000002,USD,-18.93414838,13.82724198,0.24544058,2.51449863,2.00352889,7.64925554,8.62899041,9.95481659,1938451844.4897716,3.14307227,10.78338102,7.9779951
AGAE,Allied Gaming & Entertainment Inc.,allied-esports,streaming,stock,common,48079967.99999999,USD,32.25006169,,-0.02736267,4.28253017,0.56122738,,,0.52196841,24152919,2.60942729,,
AGCO,AGCO Corporation,agco,streaming,stock,common,7232218182.000001,USD,-11.53112095,,,0.62228668,1.92812855,10.47146688,24.35692852,11.79086829,9746218182,0.83573159,10.09447766,7.5103785
AGEN,Agenus Inc.,agenus,streaming,stock,common,66857946,USD,-75.51748316,,,0.38418097,,,,1.37141613,463200946,2.88730043,,
AGFY,Agrify Corporation,,streaming,stock,common,28682754.00000001,USD,840.66436005,,,1.99676298,4.77741087,,,75.68641925,37632754.00000001,3.62376062,,
AGH,Aureus Greenway Holdings Inc.,,streaming,stock,common,,USD,,,,,,,,,,,,
AGIO,"Agios Pharmaceuticals, Inc.",agios-pharmaceuticals,streaming,stock,common,2036305909,USD,4.29155083,3.11888443,,53.77683234,1.31823019,,,2.2729234,1199583909,32.86711351,,
AGL,"agilon health, inc.",agilon-health,streaming,stock,common,1286385531,USD,-46.81359637,,-0.28753435,0.22776018,2.73073388,,,3.16959267,924751531,0.15258592,,
AGM,Federal Agricultural Mortgage Corporation,federal-agricultural-mortgage,streaming,stock,common,2226890312,USD,15.50786963,12.71042696,3.04196368,2.45921804,2.11250037,3.74778787,3.78031863,2.24223784,28985206312,32.16161617,35.76010037,35.76010037
AGMH,AGM Group Holdings Inc.,agm-group,streaming,stock,common,8660200,USD,-73.5863893,,,0.19356602,1.8427546,,,6.57834161,17253596,0.28685937,,
AGO,Assured Guaranty Ltd.,assured-guaranty,streaming,stock,common,4445171516,USD,-11.4886213,12.80273266,,5.83558537,0.80266234,96.43461702,96.43461702,,6202171516,7.5636238,,
AGRI,AgriFORCE Growing Systems Ltd.,,streaming,stock,common,2652155,USD,162.9083094,,-0.0082461,2284.57384453,23.08608877,,,103.8555384,2417216,41.96847003,,
AGRO,Adecoagro S.A.,adecoagro,streaming,stock,common,1112159818,USD,5.02711458,7.10531568,0.70065407,0.78772574,0.77112749,5.08326769,334.95699996,5.04245095,2151739818,1.56486413,12.8400753,5.91205529
AGS,"PlayAGS, Inc.",playags,streaming,stock,common,496032530.99999994,USD,38.22369742,66.04904632,0.47462007,1.26487476,6.97345255,4.59766568,8.25093173,10.82897111,997718531,2.58454208,14.55503488,6.74033948
AGX,"Argan, Inc.",argan,streaming,stock,common,1769787827,USD,186.49464317,27.30376141,0.28909049,2.18257813,5.38175495,12.39952953,12.9096877,3.61382111,1266153827,1.57040582,18.12623586,17.55913112
AGYS,"Agilysys, Inc.",agilysys,streaming,stock,common,2264803276,USD,6.24717641,102.42822815,,8.65835423,8.81897206,39.68556254,41.51851934,37.74050559,2264942276,8.59322569,92.07082423,72.55941938
AHCO,AdaptHealth Corp.,adapthealth,streaming,stock,common,1534786698.9999998,USD,9.67561912,18.81613757,,0.46432802,0.97494194,2.86756199,6.58974706,14.15762545,3562349698.9999995,1.09241859,12.6319978,5.15317651
AI,"C3.ai, Inc.",c3-ai,streaming,stock,common,2944507096,USD,-5.67564483,,,8.48549194,,,,4.22110166,2220180096,6.05080656,,
AIEV,"Thunder Power Holdings, Inc.",feutune-light-acquisition,streaming,stock,common,11834064,USD,,,,,1.80586733,,,350.63227557,13179757,,,
AIFF,"Firefly Neuroscience, Inc.",firefly-neuroscience,streaming,stock,common,36079692,USD,1001.53475716,,,,13.64843822,,,25.73301593,34849692,,,
AIG,"American International Group, Inc. New",american-international,streaming,stock,common,49211036053.99998,USD,-5.96218043,16.43482741,15.4675819,1.49510008,1.18235376,15.89592449,15.89592449,,59030036053.99998,1.76551626,,
AIHS,Senmiao Technology Limited,senmiao-technology,streaming,stock,common,9465184,USD,-4.51738669,,,2.25317735,,31.04773419,35.26406078,9.97451358,12622928,3.10720599,,
AIM,AIM ImmunoTech Inc.,aim-immunotech,streaming,stock,common,9281835,USD,-52.32780836,,-0.02662856,38.82573867,2.72012895,,,1.08114373,5480835,28.8465,,
AIMD,"Ainos, Inc.",ainos,streaming,stock,common,7515055,USD,95.01037811,,-0.0297338,154.616335,0.4089094,,,1.16694273,14628449,360.0140034,,
AIN,Albany International Corporation,albany-international,streaming,stock,common,2366012961,USD,-14.83831413,23.89452333,16.65079934,1.82589327,2.41491577,11.21123279,20.55606975,18.87858381,2606663961,2.05687391,16.76602343,10.66421183
AIOT,"PowerFleet, Inc.",powerfleet,streaming,stock,common,934190861,USD,734.21372954,,-0.26302783,3.11747384,2.03773127,,,24.11521413,1177073861,4.01148453,,41.59712553
AIP,"Arteris, Inc.",arteris,streaming,stock,common,372628567.99999994,USD,53.09705479,,,6.17760251,,,,8.33535984,334778567.99999994,5.79964258,,
AIR,AAR Corp.,aar,streaming,stock,common,2335170420,USD,-2.96998102,234.72924188,,0.88752839,1.97627858,47.38517598,121.73957447,27.74186667,3317370420,1.2900025,24.98019895,17.86413796
AIRE,reAlpha Tech Corp.,realpha-tech,streaming,stock,common,66318028,USD,2.55841234,,,,2.91032559,,,9.02899599,65181858,,,
AIRG,"Airgain, Inc.",airgain,streaming,stock,common,67041633,USD,85.57615445,,,1.14645621,2.15920005,,,7.71175088,62430633,1.03022547,,
AIRI,Air Industries Group,air-industries,streaming,stock,common,13801870,USD,-12.09057129,,,0.25573695,0.93812913,,,73.77461048,40406870,0.75305869,35.22830863,10.42488906
AIRJ,AirJoule Technologies Corporation,montana-technologies,streaming,stock,common,447303745,USD,113.64613891,1.59035858,0.00024675,,1.68348399,,,14.96843618,416776031,,,
